@relation 'Generic Classifier'
@attribute 'method' numeric
@attribute 'experiment' numeric
@attribute 'developed' numeric
@attribute 'using' numeric
@attribute 'used' numeric
@attribute 'based' numeric
@attribute 'that' numeric
@attribute 'not' numeric
@attribute 'approach' numeric
@attribute 'figure' numeric
@attribute 'than' numeric
@attribute 'described' numeric
@attribute 'found' numeric
@attribute 'fig' numeric
@attribute 'patients' numeric
@attribute 'significant' numeric
@attribute 'less' numeric
@attribute 'our' numeric
@attribute 'after' numeric
@attribute 'cells' numeric
@attribute 'each' numeric
@attribute 'women' numeric
@attribute 'identify' numeric
@attribute 'table' numeric
@attribute 'applied' numeric
@attribute 'whether' numeric
@attribute 'estimate' numeric
@attribute 'ppercent' numeric
@attribute 'analysis' numeric
@attribute 'more' numeric
@attribute 'for' numeric
@attribute 'detection' numeric
@attribute 'allows' numeric
@attribute 'procedure' numeric
@attribute 'algorithm' numeric
@attribute 'children' numeric
@attribute 'had' numeric
@attribute 'interestingly' numeric
@attribute 'methods' numeric
@attribute 'however' numeric
@attribute 'propose' numeric
@attribute 'observed' numeric
@attribute 'can' numeric
@attribute 'determined' numeric
@attribute 'then' numeric
@attribute 'showed' numeric
@attribute 'activation' numeric
@attribute 'study' numeric
@attribute 'simple' numeric
@attribute 'associated' numeric
@attribute 'were' numeric
@attribute 'grown' numeric
@attribute 'risk' numeric
@attribute 'significantly' numeric
@attribute 'who' numeric
@attribute 'did' numeric
@attribute 'contrast' numeric
@attribute 'technique' numeric
@attribute 'shown' numeric
@attribute 'levels' numeric
@attribute 'indicate' numeric
@attribute 'revealed' numeric
@attribute 'proposed' numeric
@attribute 'animal' numeric
@attribute 'although' numeric
@attribute 'there' numeric
@attribute 'time' numeric
@attribute 'might' numeric
@attribute 'novel' numeric
@attribute 'similar' numeric
@attribute 'describe' numeric
@attribute 'generate' numeric
@attribute 'quantify' numeric
@attribute 'days' numeric
@attribute 'with' numeric
@attribute 'higher' numeric
@attribute 'association' numeric
@attribute 'mice' numeric
@attribute 'reported' numeric
@attribute 'best' numeric
@attribute 'was' numeric
@attribute 'difference' numeric
@attribute 'likely' numeric
@attribute 'performed' numeric
@attribute 'protocol' numeric
@attribute 'suggests' numeric
@attribute 'sequences' numeric
@attribute 'value' numeric
@attribute 'uses' numeric
@attribute 'sets' numeric
@attribute 'statistical' numeric
@attribute 'detected' numeric
@attribute 'between' numeric
@attribute 'only' numeric
@attribute 'mutant' numeric
@attribute 'increase' numeric
@attribute 'here' numeric
@attribute 'samples' numeric
@attribute 'indicated' numeric
@attribute 'clustering' numeric
@attribute 'HasVBD' numeric
@attribute 'HasVBN' numeric
@attribute 'HasVBG' numeric
@attribute 'HasVBZ' numeric
@attribute 'HasVBP' numeric
@attribute 'HasVB' numeric
@attribute category {experiment,method,finding,result}
@data
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,experiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,experiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,experiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,experiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,experiment
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,experiment
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,experiment
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,experiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,experiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,experiment
